Time,X,Y,Velocity(x),Velocity(y),Speed
0.3892126,-3.9,-1.433333,0,0,0
0.4087038,-3.888889,-1.433333,0.5700656,0,0.5700656
0.4228849,-3.888889,-1.422222,0.2850328,0.3917577,0.4844768
0.438489,-3.855556,-1.388889,0.9020935,0.9732384,1.327014
0.4513941,-3.822222,-1.333333,1.322303,1.806162,2.238461
0.4713631,-3.777778,-1.255555,1.736204,2.779896,3.277533
0.4896774,-3.688889,-1.166667,2.949581,3.79739,4.808347
0.5081453,-3.5,-0.9666666,4.972517,5.970742,7.77018
0.5236702,-3.411111,-0.8888888,5.75818,6.14698,8.422707
0.5380507,-3.166667,-0.6999999,9.451361,8.457025,12.68264
0.5558081,-2.622222,-0.3222221,15.90301,12.56224,20.26612
0.5685596,-2.411111,-0.1888889,17.48494,12.46889,21.47549
0.586668,-1.766667,0.1666665,24.9506,16.12514,29.70779
0.6015911,-1.566667,0.2555555,24.05152,14.33048,27.99711
0.6195354,-1.055555,0.511111,23.50728,12.57228,26.6581
0.6350632,-0.788889,0.6666666,23.66175,12.46271,26.74318
0.651515,-0.5444442,0.7888889,18.47925,9.411266,20.73775
0.6683235,-0.2777778,0.9111112,19.09497,9.740011,21.43562
0.6848688,-0.03333357,1.011111,15.66774,7.690622,17.45348
0.7018442,0.2333334,1.077778,15.30161,6.167952,16.49796
0.716815,0.4555554,1.166667,15.29799,5.795053,16.35882
0.7349453,0.633333,1.211111,13.78313,4.590033,14.52732
0.7525406,0.822222,1.244444,12.77337,3.552642,13.25822
0.7745581,1.144444,1.244444,12.50483,2.57083,12.76636
0.7924814,1.333333,1.244444,11.42857,1.086455,11.4801
0.8082113,1.511111,1.244444,11.80266,0.4736111,11.81216
0.8267117,1.633334,1.244444,10.77049,0,10.77049
0.8428478,1.744444,1.233333,8.83323,-0.1721428,8.834908
0.8606596,1.788889,1.222222,6.822361,-0.3280916,6.830246
0.8784122,1.822223,1.188889,4.466313,-0.7975047,4.536956
0.8896685,1.833333,1.155556,3.061441,-1.537836,3.425983
0.9042835,1.833333,1.044444,1.339991,-3.266325,3.530504
0.9246626,1.822223,0.8444446,0.5798886,-5.563872,5.594009
0.9470348,1.711111,0.5888891,-1.131159,-7.950179,8.030248
0.9701576,1.555555,0.4444444,-3.059765,-8.771563,9.289912
0.9865332,1.433333,0.3333336,-4.925685,-8.567222,9.88229
0.9987354,1.3,0.1999998,-7.521121,-8.845469,11.61075
1.009919,1.222223,0.1555556,-8.018127,-6.98325,10.63279
1.022752,1.033334,0.0444442,-10.01613,-7.586161,12.56474
1.038204,0.8000003,-0.0666666,-11.92525,-7.687501,14.18835
1.05377,0.6222227,-0.1666668,-12.04877,-6.561838,13.71971
1.071342,0.4777781,-0.2333334,-12.36513,-6.516793,13.9773
1.085065,0.3555552,-0.3111112,-10.91198,-5.769153,12.34319
1.10197,0.222222,-0.4111111,-9.108761,-5.450387,10.61491
1.119731,0.1000002,-0.5444443,-7.97386,-5.721051,9.813912
1.138021,-0.01111137,-0.6666666,-7.437652,-6.443251,9.840434
1.154,-0.08888881,-0.811111,-6.427762,-7.286069,9.716117
1.170531,-0.08888881,-0.9333333,-4.45594,-7.655585,8.857956
1.185067,-0.08888881,-0.9666666,-2.735594,-6.352132,6.916144
1.202288,-0.0222222,-1.111111,-0.2489734,-6.77846,6.783031
1.219847,0.03333304,-1.188889,1.758815,-5.626032,5.894546
1.236731,0.08888881,-1.255555,2.581432,-4.764786,5.419131
1.252858,0.1555559,-1.3,3.614866,-4.880445,6.073385
1.269608,0.2444448,-1.344445,3.973775,-3.446838,5.260378
1.286469,0.3666666,-1.377778,4.994999,-2.833702,5.742811
1.30412,0.5222225,-1.422222,6.37553,-2.476036,6.839454
1.320025,0.7000002,-1.433333,8.136396,-1.961727,8.369547
1.338168,0.8666664,-1.433333,9.106251,-1.298351,9.198343
1.35379,1.044444,-1.433333,10.13901,-0.8041134,10.17085
1.369979,1.266667,-1.4,11.36765,0.3401237,11.37273
1.388946,1.6,-1.266667,12.967,2.272235,13.16458
1.407045,1.844444,-1.177778,14.04675,3.499998,14.47623
1.422849,2.122222,-1.122222,15.59608,4.378855,16.19914
1.440522,2.366667,-1.033333,15.62208,5.121462,16.44016
1.457145,2.622222,-0.9888887,15.07193,4.032434,15.60203
1.474133,2.877778,-0.9444445,15.45645,3.458731,15.83871
1.489326,3.1,-0.9,14.71882,3.311207,15.08668
1.506572,3.366667,-0.8666667,15.12661,2.537028,15.33789
1.521714,3.622223,-0.8000001,15.50231,2.969248,15.78411
1.538733,3.888889,-0.7333332,15.65877,3.294528,16.0016
1.55556,4.044445,-0.6777778,14.31314,3.388557,14.70879
1.571016,4.144444,-0.6333333,12.06503,3.624239,12.59762
1.588685,4.211111,-0.6111112,8.78912,2.838008,9.235958
